filename,text,year,university,faculty,department,speciality,author,supervisors,title
diploms/MFTI/2016MS_Bolotskaya.pdf,"  ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ
ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ «МОСКОВСКИЙ ФИЗИКО-
    ТЕХНИЧЕСКИЙ ИНСТИТУТ (ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ)»
                     Факультет Общей и Прикладной Фикики
                   Кафедра Физики и Технологии Наноструктур
                                                                 «Утверждаю»
                       Заведующий кафедрой Физики и Технологии Наноструктур
                                                     Лебедев В.В.____________
                                                       «___»__________2016 г.
                        Болотская Екатерина Евгеньевна
                     Исследование процесса полимеризации
        методами импульсной ТГц-спектроскопии с временным разрешением
                       Квалификационная работа магистра
               По направлению Физики и Технологии Наноструктур
                                                        Научный руководитель:
                                  кандидат физико-математических наук, доцент
                                                  Юрченко Станислав Олегович
                                Москва, 2016 г.
                                                         ОГЛАВЛЕНИЕ
",2016,mipt,факультет общей и прикладной фикики,кафедра физики и технологии наноструктур,,,Юрченко Станислав Олегович,
diploms/MFTI/2016MS_Shuravin.pdf,"    Министерство образования и науки Российской Федерации
    МОСКОВСКИЙ ФИЗИКО-ТЕХНИЧЕСКИЙ ИНСТИТУТ
                (государственный университет)
      ФАКУЛЬТЕТ ОБЩЕЙ И ПРИКЛАДНОЙ ФИЗИКИ
    КАФЕДРА ФИЗИКИ И ТЕХНОЛОГИИ НАНОСТРУКТУР
ДИСЛОКАЦИИ В НАНОПЛЕНКАХ ПОЛЯРНЫХ СМЕКТИЧЕСКИХ
                   ЖИДКИХ КРИСТАЛЛОВ
            Выпускная квалификационная работа
                      студента 025 группы
                Шуравина Никиты Сергеевича
                    Научный руководитель
                    Долганов П.В. д.ф.-м.н.
                        г. Черноголовка
                              2016
",2016,mipt,факультет общей и прикладной физики,кафедра физики и технологии наноструктур,,Шуравина Никиты Сергеевича,Долганов П. В.,
diploms/MFTI/2016BS_Galiullin.pdf,"Ìîñêîâñêèé ôèçèêî-òåõíè÷åñêèé èíñòèòóò (ãîñóäàðñòâåííûé óíèâåðñèòåò)
               Ôàêóëüòåò îáùåé è ïðèêëàäíîé ôèçèêè
             Êàôåäðà ôèçèêè è òåõíîëîãèè íàíîñòðóêòóð
            Ëàáîðàòîðèÿ èñêóññòâåííûõ êâàíòîâûõ ñèñòåì
Èçó÷åíèå êîãåðåíòíîãî êâàíòîâîãî ïðîñêàëüçûâàíèÿ ôàçû
                   â ñâåðõïðîâîäÿùèõ öåïÿõ
      Âûïóñêíàÿ êâàëèôèêàöèîííàÿ ðàáîòà íà ñòåïåíü áàêàëàâðà
                        ñòóäåíòà 225 ãðóïïû
                  Ãàëèóëëèíà Àéðàòà Àçàìàòîâè÷à
                                                          Íàó÷íûé ðóêîâîäèòåëü:
                                                              Ph.D., Õðàïà÷ È. Í.
                           Äîëãîïðóäíûé
                                2016
",2016,,,,,,,
diploms/MFTI/2015BS_Gagkaeva.pdf,"             Министерство образования и науки Российской Федерации
              МОСКОВСКИЙ ФИЗИКО-ТЕХНИЧЕСКИЙ ИНСТИТУТ
                         (государственный университет)
                ФАКУЛЬТЕТ ОБЩЕЙ И ПРИКЛАДНОЙ ФИЗИКИ
                КАФЕДРА ФИЗИКИ И ТЕХНОЛОГИИ НАНОСТРУКТУР
                     ГАГКАЕВА ЗАРИНА ВЛАДИМИРОВНА
  ТЕРАГЕРЦОВАЯ-ИНФРАКРАСНАЯ ДИНАМИКА БАКТЕРИАЛЬНЫХ
                           НАНОФИЛАМЕНТОВ
               Выпускная квалификационная работа бакалавра
        Направление подготовки 03.03.01 «Прикладные математика и физика»
Заведующий кафедрой           __________________         В. В. Лебедев
Научный руководитель          __________________         к. ф.-м. н. Е. С. Жукова
Студент                       __________________         З. В. Гагкаева
                                г. Долгопрудный
                                      2015
",2015,mipt,факультет общей и прикладной физики,кафедра физики и технологии наноструктур,,З. В. Гагкаева,Е. С. Жукова,
diploms/MFTI/2016BS_Noyan.pdf,"     Московский физико-технический институт
         Факультет общей и прикладной физики
               Ноян Алексей Аднанович
Роль двоения пор в матрицах анодного оксида алюминия
в процессах электроосаждения металлических нанонитей
                                             Научный руководитель:
                      д.х.н., проф. Цирлина Галина Александровна
                                              Научный консультант:
                        к.х.н., в.н.с. Напольский Кирилл Сергеевич
                     Долгопрудный
                          2016
",2016,mipt,факультет общей и прикладной физики,,,,Цирлина Галина Александровна,
diploms/MFTI/2016MS_Belyanchikov.pdf,"            Министерство образования и науки Российской Федерации
    Федеральное государственное автономное образовательное учреждение
                   высшего профессионального образования
                  «Московский физико-технический институт
                       (государственный университет)»
                    Факультет общей и прикладной физики
                  Кафедра физики и технологии наноструктур
                         МОДЕЛИРОВАНИЕ
          КОЛЛЕКТИВНЫХ И ОДНОЧАСТИЧНЫХ
              ВОЗБУЖДЕНИЙ МОЛЕКУЛ ВОДЫ,
                       ЛОКАЛИЗОВАННЫХ
В НАНОРАЗМЕРНЫХ ПОРАХ КРИСТАЛЛИЧЕСКОЙ
                        РЕШЁТКИ БЕРИЛЛА
                    Выпускная квалифик иационная работа
                          (магистерская диссертация)
      Направление подготовки: 03.04.01 Прикладные математика и физика
Выполнил:
студент 025 группы    ___________________ Белянчиков Михаил Анатольевич
Научный руководитель:
д.ф.-м.н., доцент    ___________________ Горшунов Борис Петрович
 Научный консультант:
к.ф.-м.н.             ___________________    Жукова Елена Сергеевна
                             Долгопрудный, 2016
",2016,mipt,факультет общей и прикладной физики,кафедра физики и технологии наноструктур,,Белянчиков Михаил Анатольевич,Горшунов Борис Петрович,
diploms/MFTI/2016BS_Kulesh.pdf,"            Государственное образовательное учреждение
              высшего профессионального образования
              Московский физико-технический институт
                  Факультет общей и прикладной физики
               Кафедра физики и технологии наноструктур
                                                     На правах рукописи
                         Кулеш Иван Павлович
  Исследование неравновесного вклада в сопротивление
                сверхпроводящих наноструктур
               03.03.01 — Прикладные математика и физика
              Выпускная квалификационная работа бакалавра
Научные руководители
доктор физико-математических наук, профессор
Рязанов В.В.
кандидат физико-математических наук
Столяров В.С.
                           Долгопрудный, 2016
",2016,mipt,факультет общей и прикладной физики,кафедра физики и технологии наноструктур,,,,
diploms/MFTI/2016BS_Gukov.pdf,"         Московский физико-технический институт (государственный университет)
                        Факультет общей и прикладной физики
                     Кафедра физики и технологии наноструктур
               Выпускная квалификационная работа на степень бакалавра
«Разработка субмиллиметрового микрофона для исследования биоакустики
                             на клеточном уровне»
                                                                 Студент 225 гр. Гуков Илья
                               Научный руководитель: Кандидат физико-математических наук
                                                              Дремов Вячеслав Всеволодович
                                    Москва 2016
",2016,mipt,факультет общей и прикладной физики,кафедра физики и технологии наноструктур,,Гуков Илья Научный,Дремов Вячеслав Всеволодович,
diploms/MFTI/2016MS_Khudyakova.pdf,"              Министерство образования и науки Российской Федерации
               МОСКОВСКИЙ ФИЗИКО-ТЕХНИЧЕСКИЙ ИНСТИТУТ
                           (государственный университет)
                  ФАКУЛЬТЕТ ОБЩЕЙ И ПРИКЛАДНОЙ ФИЗИКИ
              КАФЕДРА ФИЗИКИ И ТЕХНОЛОГИИ НАНОСТРУКТУР
                        Худякова Анастасия Андреевна
    Изучение характеристик интерфейса волокно/матрица в армированных
          волокнами композиционных материалах с использованием
                  метода корреляции цифровых изображений
                           Магистерская диссертация
     Направление подготовки 22.04.01 “Материаловедение и технология материалов”
Заведующий кафедрой                    __________________             В.В. Лебедев
Научный руководитель                   __________________             С.Г.Абаимов
Студент                                __________________             А.А. Худякова
                                  г. Долгопрудный
                                         2016
",2016,mipt,факультет общей и прикладной физики,кафедра физики и технологии наноструктур,,А. А. Худякова,С. Г. Абаимов,
diploms/MFTI/2016MS_Glushkov.pdf,"               Московский физико-технический институт
                     (государственный университет)
                 Факультет общей и прикладной физики
              Кафедра физики и технологии наноструктур
                                  Диссертация допущена к защите
                                  зав. кафедрой
                                                     Лебедевым В. В.
                                  «     »                       2016 г.
       Выпускная квалификационная работа
                             магистра
       Тема: Разработка однофотонного детектора в
 гигагерцовом диапазоне для сверхпроводящих кубитов
Направление:             010900 – Прикладные математика и физика
Магистерская программа: 010988 – Физика микроволн и наноматериалов
Выполнил студент гр. 025                            Глушков Е. Р.
Научный руководитель,
профессор                                          Астафьев О. В.
Консультант по проекту,
с.н.с                                              Гуртовой В. Л.
                             Москва – 2016
",2016,mipt,факультет общей и прикладной физики,кафедра физики и технологии наноструктур,010900 – прикладные математика и физика,Глушков Е. Р.,Астафьев О. В.,
